stem,group,view,width,height,mean_luma,std_luma,entropy,sharpness,dynamic_range,dark_fraction,white_fraction,mean_saturation,crack_bbox_fraction,objects_0,objects_1,objects_2,phash,dhash,cluster,quality,reject_reasons,selected
11SQWLC_4_P_png.rf.927086b44ad978eeb0f2fa874c7b3991,11SQWLC,4,124,124,54.927398681640625,49.62324617882191,6.985930831330846,20.100830078125,159.0,0.0876922607421875,0.0,28.487136840820312,0.983936004162331,0,4,1,ad14a496f583fec0,0f060f0717070307,-1,nan,image_too_small,0
11SQWLC_5_P_png.rf.9184a91c97fb0c54f4bb4c431a2edfdd,11SQWLC,5,108,108,67.16192626953125,54.462819096301274,7.315236224447896,50.099029541015625,188.0,0.151397705078125,0.0,30.79364013671875,0.9723936899862826,0,3,1,ea64f089749f0637,0f4341415171310b,-1,nan,image_too_small,0
12FT5F8_1_P_png.rf.b92bf5b749ce49159c8ebd2998c03fc7,12FT5F8,1,184,184,78.75274658203125,38.95990971768535,6.942690749514815,30.097076771548018,126.0,0.0189971923828125,0.0,25.685256958007812,0.9891599716446124,1,4,1,fc7e81708745c11f,002102040d002ed8,220,0.5040081016727441,,0
12FT5F8_2_P_png.rf.a5f4e2ad37d0e87ad37ecf63f05e3ed4,12FT5F8,2,248,248,174.5651397705078,47.31334560241435,7.115762858263684,95.21877411729656,154.0,0.0110015869140625,0.0,13.151214599609375,0.9879357440166493,1,4,1,f3738e729644c11d,800902050c1124d8,114,0.6513539520896855,,0
12FT5F8_3_P_png.rf.a4116881829431a77776526b0c556d7e,12FT5F8,3,292,292,193.3942413330078,45.604068498759105,6.499359314886706,212.80682567413896,126.0,0.0067901611328125,0.0,9.467086791992188,0.9863365547006943,1,4,1,f1718e8e58519b1e,818409962949a2aa,165,0.592427107790419,,0
12FT5F8_4_P_png.rf.dc66c10bb9ed2ddb062dad4a040b54bd,12FT5F8,4,316,316,177.89404296875,54.6835244417654,7.066826168811923,166.30993281840347,193.0,0.021759033203125,0.0,14.172454833984375,0.9873718154141964,1,4,1,e2729a73921c619f,8c09828e0b863aec,114,0.747410311514923,,1
12FT5F8_5_P_png.rf.9ab0041c89e5de56e08711293d307ec6,12FT5F8,5,296,296,197.5055694580078,43.804558261097526,6.318785152057797,193.5795755237341,122.0,0.0029754638671875,0.0,9.035140991210938,0.9932546566837107,1,5,1,e171848f59719b1e,12960a122d49a4e0,165,0.5546451377930195,,0
154557K_1_P_png.rf.82eb0a327690fbd639f99bd0eec72174,154557K,1,160,160,65.07603454589844,35.206806989851856,6.892001507848036,34.9146979523357,125.0,0.0379791259765625,0.0,49.30412292480469,0.9813281250000001,0,5,1,a229552fdd54d552,3f9f95afafef8dfc,62,0.48934259934648994,,0
154557K_2_P_png.rf.b2da2b9e6513ff1dc63f99831cefe733,154557K,2,328,328,162.8442840576172,44.545596633395434,6.709296249151338,120.39925253018737,128.0,0.024627685546875,0.0,31.490554809570312,0.990872248661511,1,2,1,81875a8de473d179,f061d8cec7da1ba9,181,0.615514368846406,,0
154557K_3_P_png.rf.6195f6062e8902fc9b2354fb7dcb18a3,154557K,3,320,320,127.11689758300781,46.548017004799576,6.98436132572881,143.976753793424,126.0,0.001800537109375,0.0,26.104598999023438,0.9937597656249999,2,5,2,9c8e9c73f1478c4a,f37ef466cdadadb4,29,0.6924589835343894,,1
154557K_4_P_png.rf.832962305134196a3a66d1f745c2c42d,154557K,4,116,116,156.3420867919922,45.72234300742536,6.6519112565685665,80.73348999023438,130.25,0.0137481689453125,0.0,33.76649475097656,0.982832936979786,1,2,1,b6994c06c7b359a6,65331c5de98f4766,-1,nan,image_too_small,0
154557K_5_P_png.rf.dc6eb9c2b8e6fcc3cca74e2fd4152db9,154557K,5,324,324,171.38726806640625,40.982248908438144,6.213334770593617,92.55881792097352,119.0,0.0153656005859375,0.0,25.707260131835938,0.09815576893766194,2,3,1,80ff837fe0807f88,94eeb9aeb3e4f7e5,5,0.4317019148266179,,0
